with,without
6.180210260295016,4.63117218863219
5.904216798090084,4.717487996295095
6.236229208775503,4.981877887696028
6.051890225850685,4.988806155957281
5.945204572708054,4.879504966698587
6.017755946882708,4.700015859901905
5.946832255826039,4.7082684927806255
6.095743352279706,4.7893232169747355
6.312812478870793,4.592680306397378
5.996450380825145,4.534256833307445
6.330289902233226,4.723418150544166
6.315917715386195,4.820345433875918
6.030105827369435,4.544351971670985
6.047575539604469,4.876364382356405
6.143311728232248,4.692025399431587
5.908477676317735,4.585339746288955
5.926628200591249,4.65789112046361
6.340566133626444,4.586967429406941
6.120699863240762,4.735878525860608
6.0255756366929845,4.952947652451694
6.119265004911168,4.636585554406047
6.237878440425439,4.970425075814128
6.152591290206356,4.956052888967097
6.285690016180916,4.670241000950337
5.913209083520515,4.68771071318537
5.91100931483571,4.783446901813149
6.238710724965377,4.548612849898636
5.901730721921368,4.566763374172151
6.260405077666683,4.980701307207346
6.116946190737827,4.760835036821663
3.870559059701157,4.665710810273886
4.2399805165298705,4.759400178492069
5.03979366546799,4.87801361400634
5.682144734359574,4.7927264637872575
6.417939565836679,4.9258251897618175
7.009640987909626,4.553344257101417
7.353669797385236,4.551144488416612
7.004246402101716,4.878845898546278
6.960451288053891,4.541865895502269
7.190733539739749,4.900540251247585
6.958335320966443,4.757081364318728
7.3567378164624175,4.7366469225287435
7.184198466332754,4.934931545183063
7.179643689634403,4.86551132760942
7.11191696720024,4.654217803031206
7.079491274150213,4.908970739394427
7.405910583341619,4.863586731217802
7.300064278112849,4.994373166039586
7.105601588951548,4.623431958034635
7.122171410003801,4.704060635454953
7.291362038383385,4.777544909752906
7.311072719263038,4.61742865704
7.045946710685393,4.984029942341149
7.280015978643795,4.600347023904323
7.316550207713743,4.832322064079344
7.048237776177128,4.717291871160269
7.409967381226023,4.912169271633029
7.230044057982167,4.879790898896754
7.227490566054484,4.736596552543342
7.16739741528233,4.5823213600367305
7.192176542932292,4.946845379732549
7.4188602898066245,4.698424978367984
7.1097436582838505,4.621567596569657
